key_name,sample_value,label
id,0c34f4f6-3290-4a19-b64a-caf8661c4d54,uuid
val_id,670350,numeric_id
title_val,N/A,unknown
timestamp,2020-12-16T19:47:32,date_iso
Title,0.7682324051066467,unknown
name,N/A,unknown
val_has_access,true,boolean
RANDOM_KEY,unknown,unknown
updatedAt,2015-08-03T04:42:26,date_iso
uuid_val,f30a24c3-b04c-4f2e-8935-406081857e0d,uuid
Verified,0,boolean
name,Mario Mason,unknown
str_user_email,rdavis@example.net,email
enabled,False,boolean
random_key,We bank check.,unknown
str_verified,false,boolean
user_email_val,fosterrobert@example.org,email
url,http://levine.com/,url
USER_ID,84233,numeric_id
UpdatedAt,2025-02-28T20:15:51,date_iso
contact_mail,cwallace@example.org,email
EMAIL,laura33@example.com,email
str_id,0cd39d58-864d-400c-b380-b8855816f931,uuid
DESCRIPTION,unknown,unknown
email_address_val,myerspatrick@example.org,email
id,528612,numeric_id
name,Ryan Hardy DDS,unknown
description,N/A,unknown
user-id,8f31001d-ad50-4098-a588-9d22156183f0,uuid
ORDER_ID,808949,numeric_id
title,Robert Moore,unknown
val_is_active,True,boolean
random-key,Alexander Wong,unknown
val_user_id,627506,numeric_id
str_is_active,False,boolean
val_website,http://www.everett.org/,url
order_id,921476,numeric_id
updated_at,2017-06-23T01:11:56,date_iso
order_id,818673,numeric_id
customer_i,149923,numeric_id
email_address,rshaffer@example.org,email
id,13d5da05-79c9-4a8b-b5cd-75d33aa035d5,uuid
str_enabled,true,boolean
metadata,Method military remain street.,unknown
UPDATED_AT,2023-07-31T17:43:22,date_iso
Name,Ryan Steele,unknown
avatar_url,http://collins-cain.com/,url
order-id,252899,numeric_id
customerId,289023,numeric_id
metadata,0.6650681668826992,unknown
RandomKey,0.05750162103493017,unknown
GUID,c65d8077-dd05-4dc7-91e9-8491ce8d7120,uuid
RANDOM_KEY,N/A,unknown
date-of-birth,1975-10-03T19:48:44,date_iso
id,694543,numeric_id
contact_mail,charles34@example.org,email
ContactMail,thomas51@example.net,email
val_user_email,lambertfrancis@example.net,email
customer_id,167641,numeric_id
EmailAddress,richard58@example.org,email
customer_id,828652,numeric_id
email-address,lisa28@example.org,email
str_website,https://jackson-swanson.com/,url
name,N/A,unknown
str_title,N/A,unknown
RandomKey,Only it song as among.,unknown
user_id,142607,numeric_id
random_key_val,0.7348015430152688,unknown
contactMail,hpeters@example.net,email
str_enabled,True,boolean
val_url,http://www.odonnell.com/,url
str_order_id,723137,numeric_id
str_date_of_birth,1979-07-17T22:04:31,date_iso
RandomKey,Carlos Morris,unknown
val_order_id,248912,numeric_id
contact_mail,tprince@example.com,email
CreatedAt,1991-09-10T07:13:39,date_iso
id_val,0bda5ac9-c33f-459f-8b90-6049f400a8e7,uuid
HasAccess,False,boolean
random_key,unknown,unknown
uuid,fccfbaad-f061-4d62-b334-fac328dcc0b0,uuid
uuid,5cc0539d-47cc-43ae-baba-830d7c25c838,uuid
uuid,e18e0b24-930c-43d5-bcf1-dbff5e88cb05,uuid
email,henrywood@example.com,email
timestamp,1998-11-15T01:04:00,date_iso
val_description,unknown,unknown
val_link,https://edwards.com/,url
USER_EMAIL,brooksgregg@example.com,email
uuid,0148d3af-70d9-4bd8-983d-a901db6d438c,uuid
val_title,N/A,unknown
UserEmail,christopherglover@example.com,email
str_metadata,0.05564599183781971,unknown
isActive,false,boolean
metadata,Little fill cover pattern.,unknown
user_email,emilydavis@example.org,email
order_id_val,339477,numeric_id
str_timestamp,1976-02-23T15:07:38,date_iso
USER_EMAIL,tonya55@example.org,email
avatarUrl,http://knapp-campos.com/,url
Uuid,95dd7363-0f64-4db8-9a85-b025e91b67d1,uuid
id,633252,numeric_id
has_access,false,boolean
str_session_id,3795c754-a8a0-49d9-b900-bb33c05c9996,uuid
Metadata,0.5927900167645848,unknown
ID,9db7f126-0406-4e14-93c1-0bc59f28f1a8,uuid
userId,485138,numeric_id
verified_val,True,boolean
Email,dharvey@example.org,email
customerId,497836,numeric_id
str_random_key,Another purpose perform.,unknown
avatar-url,http://www.porter-berry.com/,url
customer_id,462049,numeric_id
VERIFIED,False,boolean
avatar_url,https://davis.com/,url
user_id_val,28cdb277-a7a9-48f6-a9b6-c3b995357ca2,uuid
user_id,405323,numeric_id
has_access,1,boolean
str_updated_at,1994-05-07T05:02:17,date_iso
str_link,https://lopez.biz/,url
isActive,True,boolean
id,4f8e048e-d92b-4b8f-8210-c39922259db7,uuid
guid_val,84882b5c-7272-43aa-9bc3-bdd283cf7253,uuid
Email,brandyvasquez@example.org,email
guid,43a60bd2-3ebf-46cb-9b3b-e58de7cbbdb3,uuid
website,http://krause.net/,url
email_address_val,olsontara@example.org,email
timestamp,2013-01-15T11:22:29,date_iso
order_id,305047,numeric_id
order_id,67409,numeric_id
customer_id,788911,numeric_id
val_random_key,N/A,unknown
description,Charge want six natural.,unknown
CreatedAt,2007-04-10T10:55:11,date_iso
link_val,http://www.tran-young.info/,url
str_session_id,f9b5dc92-10e5-4c23-b795-7d3240499c6e,uuid
str_email,sjimenez@example.org,email
description,N/A,unknown
url_val,http://www.meyer.info/,url
id_val,558ab7f9-dbf7-4b93-9150-e6f0db43319a,uuid
metadata,0.0381652930156865,unknown
verified,true,boolean
title_val,Fernando Ayala,unknown
Email,scottkirby@example.com,email
Url,https://johnson-mendoza.com/,url
order_id,403241,numeric_id
val_email_address,johnreed@example.com,email
GUID,1ef6f879-d1cb-48c5-9105-e59eff0f751d,uuid
user_id,95291,numeric_id
str_avatar_url,http://odom.com/,url
date_of_birth,1976-03-03T05:34:29,date_iso
session_id,57428913-1fae-4b3e-84f3-08e08854b920,uuid
val_customer_id,602668,numeric_id
email,richardgonzalez@example.org,email
isActive,True,boolean
session-id,fac22960-6866-43d0-9cdb-e610c74ec676,uuid
link,http://stone-hernandez.biz/,url
random_key_val,Jordan Morrow,unknown
metadata_val,0.08422898037416782,unknown
val_random_key,Matthew Ingram,unknown
str_random_key,N/A,unknown
val_verified,0,boolean
USER_ID,652868,numeric_id
ContactMail,grobles@example.org,email
str_user_id,163ef06d-f301-4d52-990f-4a1cce9014e1,uuid
random_key,N/A,unknown
CUSTOMER_ID,999911,numeric_id
GUID,19741c91-cb2d-49ac-99eb-e79c02f578bc,uuid
str_customer_id,920662,numeric_id
str_guid,91b6e78f-2971-433e-8741-d21e6918a764,uuid
Title,0.3428143535470147,unknown
val_contact_mail,antonio73@example.org,email
created-at,1973-09-22T22:38:27,date_iso
url_val,http://www.jackson.com/,url
uuid,374067ac-4611-4fe2-9a60-a15f79d77d81,uuid
str_link,https://www.keller-ramirez.info/,url
Email,edwardsharold@example.com,email
Metadata,N/A,unknown
